hexagon_n,tree_pct,pop_ft,tree_class,tree_class_text,pop_class,pop_class_text,combined_class
196,54.514339523824596,2022.603246088852,2,high,1,medium,"high trees, medium pop"
197,16.147256827178317,10394.4960580938,0,low,2,high,"low trees, high pop"
198,11.32819507411797,6834.964644506865,0,low,2,high,"low trees, high pop"
199,32.79998727537835,1918.6038956616144,1,medium,1,medium,"medium trees, medium pop"
200,54.785559178658836,1876.885927492891,2,high,1,medium,"high trees, medium pop"
201,20.54440984059432,1631.2401819601366,0,low,1,medium,"low trees, medium pop"
202,7.5968876937976795,2514.1709328988018,0,low,1,medium,"low trees, medium pop"
203,41.41618174711601,5465.34258442673,1,medium,2,high,"medium trees, high pop"
204,41.13765430062405,3665.656032558136,1,medium,2,high,"medium trees, high pop"
205,58.54933138898468,539.619719473331,2,high,0,low,"high trees, low pop"
206,56.74514516374095,4497.076783643985,2,high,2,high,"high trees, high pop"
207,48.40656435265631,2082.557479914672,2,high,1,medium,"high trees, medium pop"
208,41.35007745486802,2586.845824860591,1,medium,1,medium,"medium trees, medium pop"
209,41.60583782281096,3779.5268110487978,1,medium,2,high,"medium trees, high pop"
210,40.303912853491454,2596.6929005655006,1,medium,1,medium,"medium trees, medium pop"
211,37.360651635308386,528.6118377875025,1,medium,0,low,"medium trees, low pop"
212,42.647728825925256,2582.3473128861287,1,medium,1,medium,"medium trees, medium pop"
213,48.054190587581516,4358.138397129404,2,high,2,high,"high trees, high pop"
214,38.24212909852206,2618.646198589201,1,medium,1,medium,"medium trees, medium pop"
215,3.4402043827636897,0.0,0,low,0,low,"low trees, low pop"
216,75.24279763675462,2390.134283905169,2,high,1,medium,"high trees, medium pop"
217,49.32893413453081,5409.0948333506485,2,high,2,high,"high trees, high pop"
218,66.51049143527716,945.9115424343768,2,high,0,low,"high trees, low pop"
219,63.987270076751365,1162.724015499608,2,high,0,low,"high trees, low pop"
220,17.54715759745787,358.6999693762803,0,low,0,low,"low trees, low pop"
221,37.66378926779697,2399.4118198499955,1,medium,1,medium,"medium trees, medium pop"
222,61.45567077241404,2149.0925701603583,2,high,1,medium,"high trees, medium pop"
223,21.75858911709267,4418.367277555254,0,low,2,high,"low trees, high pop"
224,32.12444134458148,1158.0381462268606,1,medium,0,low,"medium trees, low pop"
225,52.38791553223194,4677.12501170916,2,high,2,high,"high trees, high pop"
226,30.2575365066786,4270.767298010285,0,low,2,high,"low trees, high pop"
227,13.34628215105283,9055.928219501646,0,low,2,high,"low trees, high pop"
228,26.68860574972774,1846.5600135453776,0,low,1,medium,"low trees, medium pop"
229,37.29151211264001,4323.31865407702,1,medium,2,high,"medium trees, high pop"
230,55.824081910183885,3186.147894930605,2,high,1,medium,"high trees, medium pop"
231,34.51088490139817,2293.5399758112194,1,medium,1,medium,"medium trees, medium pop"
232,54.13827160941083,998.6541096552912,2,high,0,low,"high trees, low pop"
233,36.92817325583521,5529.621143820592,1,medium,2,high,"medium trees, high pop"
