max_threshold,"Bangkok, Thailand","Beijing, China","Cebu City, Philippines","Chongqing, China","Colombo, Sri Lanka","Delhi [New Delhi], India","Dhaka, Bangladesh","Guangzhou, China","Hanoi, Vietnam","Hiroshima, Japan","Hong Kong, China","Jakarta, Indonesia","Kabul, Afghanistan","Karachi, Pakistan","Kuala Lumpur, Malaysia","Mandalay, Myanmar","Mumbai, India","Osaka [Kyoto], Japan","Quezon City [Manila], Philippines","Shanghai, China","Tehran, Iran","Tokyo, Japan","Xi'an, China","Yangon, Myanmar","Zhuhai, China"
22,0.02053474120299953,0.0546963973719259,0.06440351234606585,0.06903699932518798,0.033822005916054686,0.01662544038004059,0.02874273842148286,0.026125341438917035,0.00552829171888617,0.016282834573754457,0.060802692159528965,0.03706951501574777,0.0067983344410002,0.0004349467165510025,0.05120714926648132,0.02752778422027255,0.07120462941354207,0.010854801121027413,0.029049035901796697,0.016703277029223394,0.0032132700940248715,0.012383669464257093,0.0009269236822433344,0.09060051709255602,0.02643116664429403
24,0.010996496302688355,0.049939873535177294,0.04319579157981178,0.07253402541618835,0.024257765965285238,0.013582150390374078,0.02741978001708053,0.02519913748318383,0.004103250671269894,0.01756772659017649,0.03065781267113824,0.038033515292076,0.000541828641120724,1.5777164146485662e-07,0.03694682125836519,0.046977142550960346,0.07059147263749711,0.008457505596292198,0.018467215974997765,0.011598386210721418,0.001452905182253157,0.010922553762052225,0.0027210159494662676,0.042051655686217555,0.00845670551074863
26,0.011264406236356899,0.036608185357749075,0.03163325573841206,0.08459592873388248,0.04766566490160321,0.012123743897259303,0.02544390313380106,0.011521102955267494,0.007470084731873457,0.027476380206123512,0.032647887407736664,0.026645875259999882,,0.00011395340528737149,0.031521258146787516,0.020869505737443984,0.06668877567229857,0.008102027403508938,0.012362421277509751,0.007516234139607913,0.0009526109472193833,0.00773702155516762,0.0013140664534815444,0.06055339033277891,0.010625254745804414
28,0.006735291931867413,0.0260722137538874,0.013946012482052227,0.047376759393298995,0.034795888378956516,0.0067988096269926265,0.024226408932579702,0.015567723730075549,0.00547409559504257,0.023714229295838607,0.043892496364661596,0.023365683320478305,0.0004174071766906727,5.353800392929276e-07,0.02734630180205765,0.022493245268358875,0.04905177560754913,0.0054267841283213766,0.01639747591040918,0.005594915617680131,0.0011733545796280486,0.0048901416313436264,0.00074157143931145,0.06737819285362782,0.02698641517636888
30,0.006011806254390118,0.01695238323508641,0.03341362910653999,0.06006711475609482,0.04153879931073242,0.0063190724244584825,0.017477458379470123,0.009576569790452112,0.0021690904648704406,0.01663782147238825,0.014639388796552135,0.014688159078491272,,8.416950156474212e-05,0.016149374725608612,0.009719342910563651,0.05881638926037841,0.0068839272616990025,0.012816966985098897,0.00875028153453049,0.00021334935793514807,0.005998770935524924,0.0008663333033395169,0.03842773695513702,0.0032548254189032483
32,0.003124241751477315,0.014106305285230767,0.03140429462157761,0.05181644007665394,0.03497342779349602,0.007795971577659444,0.016520048343220767,0.009039080884958719,0.0024659592851074396,0.01056383046313301,0.027453384083159296,0.012668621530672441,,,0.014080320880789109,0.025446768469922,0.05985116628416149,0.0059600015939956915,0.008199291053039008,0.004396064976662527,0.0004427419869118125,0.004404234681263805,0.00024430039175265194,0.031741731474209035,0.0013492534742780473
34,0.002147524674683561,0.011271676005895181,0.03554106736019644,0.028938256082553755,0.040038022927901075,0.006906530375357602,0.015184301765466035,0.0065587420027838975,0.00012424552539342865,0.022662467080120444,0.009254246660915148,0.010920979321811644,0.0005677314890284559,9.682847370263095e-08,0.012986943107945442,0.010757733354736301,0.040295303535947735,0.0035844010745425033,0.013071782252230454,0.0024299924560534972,0.0008053221359313993,0.002235396542435498,,0.009108630652537747,0.006091096078838969
36,0.0004556025179357636,0.009499618319258494,0.023900634804297712,0.017527301292342614,0.04224056870325323,0.004070765709736641,0.013262481790115455,0.004953000574910048,0.00029496729824594594,0.009572420631997567,0.018620576830962174,0.008706790023622171,0.000579755865142213,,0.009275654298964918,0.017896220110448575,0.04067684035743089,0.0033886963452658026,0.01655058711371663,0.0016902081640011628,0.00036993133902746343,0.002654593556521758,4.617629258373481e-06,0.03321449428252986,0.013054921532042721
38,0.0016861687534415147,0.010424342267874828,0.01005206216574534,0.022648842464799604,0.0417556873341437,0.002880964328396219,0.015502431741790293,0.007315859578192688,0.00015468891790741286,0.016925206387082645,0.018104126446278807,0.008072236990710515,,,0.01209070831258819,0.0048408260553514885,0.04328113564135008,0.004174988627124576,0.009048891536827336,0.0007558998745984326,8.700119312977122e-05,0.0026649668188291125,0.0021581434219436956,0.01627690748962696,0.007350470030881513
40,0.0012961364903881633,0.006925186813762044,0.01061671311275404,0.001512406216085033,0.051525455187495045,0.0030479530856906524,0.010257750808180265,0.006567072937781079,0.0015274477477302537,0.007860654997231055,0.013914112246793325,0.007515276369308987,0.0005929460303480007,,0.0061321179999662325,0.01151682826888496,0.03410555748124528,0.003109587761398793,0.008150480152058557,0.0001835257238309796,6.951246758872835e-05,0.0023967410810824636,,0.02699439197435931,0.00077917172854894
42,0.0007658196259543211,0.006309304772427489,0.020676228466645206,0.008744714694980055,0.038348592795918006,0.0028759137974899793,0.014686708708443116,0.0037530805189419816,0.0007137210674310007,0.016521864614623464,0.0227469495958067,0.005873269997926671,,,0.004613563779064539,0.020756661697010622,0.02410162238721882,0.002757455245200519,0.009634872915809606,0.001869808508585883,3.181351577790101e-06,0.001418304243805384,3.293066166798366e-05,0.020068471011685983,0.0014173305874497176
44,0.00015977624824456277,0.003270241869917805,0.008879262810175098,0.012213376813666244,0.0397005259803396,0.0014160738884869666,0.009072269425182408,0.0026877921310540964,9.037435340001727e-05,0.007568299704111245,0.010908840330744178,0.003644822796252545,,1.0308826692900867e-05,0.006189407156766147,0.00854649185240578,0.00987690365266954,0.002576305190851666,0.004723387386260194,0.00012627668840193873,4.536781247198011e-05,0.0013745878491569058,1.615685816380467e-06,0.013744505912830088,0.009808640488786779
46,0.00020017691697756594,0.0037455352573547776,0.0027694010022366973,0.004136632201597186,0.033719468942436034,0.0009033175231278073,0.0072228741296614255,0.0023484450678726114,0.0005562362937113146,0.00631311368781667,0.0005480058789497071,0.003962408239152218,,,0.007787196978448738,0.002997671512320442,0.006163177806927816,0.0022076744520554054,0.0025558813350251256,0.00020721583312808224,3.664656325039336e-05,0.0008321530120367041,,0.017014017251086096,0.003327869282789033
48,0.00036331498944723454,0.0016626558457487554,0.010306942961487412,0.00371921934565516,0.027555885156191708,0.0007696830963336166,0.00791874371073167,0.0022983913136444614,0.00023392389818538694,0.0046694534578217576,0.007595278729039925,0.0022109597145526664,,,0.006249624064415902,0.0017184168745051406,0.005849869146715242,0.00176017115965034,0.002103478071664881,8.307063157951613e-05,3.600462287532256e-09,0.0011898628436485801,,0.0071650149243264035,0.007502063195758541
50,,0.003630296928945224,0.004385075255660944,0.005891939783758409,0.02575870196435079,0.0022136949037014297,0.006685004681705709,0.001853111517181362,0.00014611860872970703,0.0021999399472456115,0.010338645711779315,0.002243708509833009,,,0.003833589624880912,0.006209572738601493,0.005926957877124047,0.001817092352733062,0.0043917260712234936,3.282421209955411e-05,,0.0014087525080317517,0.00023976675429233506,0.0046452328746965435,0.0025988700504589617
52,0.00016553378779870836,0.001936255153269739,0.006596049231666294,0.0011134461850041903,0.02353673169696417,0.0005265271708239533,0.004796928228135312,0.001960159058105414,0.0009163117956470407,0.00552046369640378,0.009572506181869368,0.0016372027821115593,,2.218620228589119e-05,0.002599795092693146,0.013874324343589447,0.001847023463248551,0.0010271643980834242,0.006349177798246119,0.00010270058791703698,,0.0007077652700085603,,0.005893995992189291,0.0013190018853065234
