city_id,tr_pct_bin,pop_ft_pct,pop_ft,UC_NM_MN,CTR_MN_NM,CTR_MN_ISO,continent
288.0,"[0.12, 0.14)",0.04608748408644121,119179.2556371523,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.14, 0.16)",0.03323801180581929,85951.35066272406,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.16, 0.18)",0.07487516907727924,193622.34874004213,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.18, 0.2)",0.05524100506315606,142849.66937503035,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.2, 0.22)",0.029097333610748708,75243.82442423535,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.22, 0.24)",0.029867819130265986,77236.25018831147,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.24, 0.26)",0.0537832356844717,139079.97196398533,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.26, 0.28)",0.043632982739384235,112832.07376551919,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.28, 0.3)",0.03794572743097526,98125.19905299759,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.3, 0.32)",0.01813746482365839,46902.3119763784,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.32, 0.34)",0.021220653426514163,54875.238465229755,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.34, 0.36)",0.021337216806841364,55176.663834336265,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.36, 0.38)",0.015987704714375488,41343.17125300455,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.38, 0.4)",0.01726671495466606,44650.609083722906,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.4, 0.42)",0.012412816347135603,32098.74094749114,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.42, 0.44)",0.008467576700098694,21896.60616482096,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.44, 0.46)",0.017476521187585938,45193.15444420576,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.46, 0.48)",0.009025475225348134,23339.295699263446,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.48, 0.5)",0.008627393249218773,22309.881433371214,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.5, 0.52)",0.00954710717233352,24688.20220589062,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.52, 0.54)",0.006488593157414696,16779.08260695244,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.54, 0.56)",0.014014911411505432,36241.65525527659,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.56, 0.58)",0.009142762961688002,23642.594206210248,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.58, 0.6)",0.0059314017141279835,15338.221540773364,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.6, 0.62)",0.003301243035528731,8536.801160890358,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.62, 0.64)",0.000905684899569851,2342.042624199118,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.64, 0.66)",0.0032381670093655714,8373.6906332561,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.66, 0.68)",0.0009886720377381619,2556.642000806584,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.68, 0.7)",0.0013498085271565947,3490.5176255115,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.7, 0.72)",0.00045970846758020136,1188.776390430536,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.72, 0.74)",0.0007466363934417721,1930.7534651946219,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.74, 0.76)",0.0004122428990772372,1066.0334975451815,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.76, 0.78)",0.0003814685463059651,986.453009942163,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.78, 0.8)",0.0006018149617651612,1556.254601356599,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.8, 0.82)",0.0003870374183983171,1000.8537533079802,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.82, 0.84)",0.0002800624746413193,724.2234615595097,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.84, 0.86)",3.5827465622970506e-05,92.6475109012834,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.86, 0.88)",1.5904092664801985e-05,41.12695589588554,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.88, 0.9)",9.554773595423948e-05,247.08027080592024,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.92, 0.94)",5.973407749658752e-05,154.46846434192042,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.94, 0.96)",0.0,0.0,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.96, 0.98)",2.5632966429021417e-06,6.628519476248939,Guatemala City,Guatemala,GTM,Americas
321.0,"[0.0, 0.02)",0.005110554894263738,8564.372139882107,San Salvador,El Salvador,SLV,Americas
321.0,"[0.02, 0.04)",0.0022863047283582065,3831.4361011579927,San Salvador,El Salvador,SLV,Americas
321.0,"[0.04, 0.06)",0.012560639156823606,21049.37531823738,San Salvador,El Salvador,SLV,Americas
321.0,"[0.06, 0.08)",0.0189480771585111,31753.574216145455,San Salvador,El Salvador,SLV,Americas
321.0,"[0.08, 0.1)",0.0444246251320887,74447.69299572898,San Salvador,El Salvador,SLV,Americas
321.0,"[0.1, 0.12)",0.08466251130286033,141879.16343654328,San Salvador,El Salvador,SLV,Americas
321.0,"[0.12, 0.14)",0.039051704817887535,65443.6435332331,San Salvador,El Salvador,SLV,Americas
321.0,"[0.14, 0.16)",0.07099579390350096,118976.19963703632,San Salvador,El Salvador,SLV,Americas
321.0,"[0.16, 0.18)",0.03004570113821105,50351.198857123425,San Salvador,El Salvador,SLV,Americas
321.0,"[0.18, 0.2)",0.06826523000795903,114400.26496125465,San Salvador,El Salvador,SLV,Americas
321.0,"[0.2, 0.22)",0.0515483799059273,86385.8265602262,San Salvador,El Salvador,SLV,Americas
321.0,"[0.22, 0.24)",0.04882868047577943,81828.09877717156,San Salvador,El Salvador,SLV,Americas
321.0,"[0.24, 0.26)",0.06827970209861715,114424.51758598966,San Salvador,El Salvador,SLV,Americas
321.0,"[0.26, 0.28)",0.045439407823642634,76148.28653036337,San Salvador,El Salvador,SLV,Americas
321.0,"[0.28, 0.3)",0.025862850807229575,43341.49294824767,San Salvador,El Salvador,SLV,Americas
321.0,"[0.3, 0.32)",0.02290806087338689,38389.79570358827,San Salvador,El Salvador,SLV,Americas
321.0,"[0.32, 0.34)",0.04148712601134083,69524.97204836195,San Salvador,El Salvador,SLV,Americas
321.0,"[0.34, 0.36)",0.03779938406418348,63344.97886860781,San Salvador,El Salvador,SLV,Americas
321.0,"[0.36, 0.38)",0.02430613633423442,40732.719079634,San Salvador,El Salvador,SLV,Americas
321.0,"[0.38, 0.4)",0.03582517169734126,60036.55351312004,San Salvador,El Salvador,SLV,Americas
321.0,"[0.4, 0.42)",0.026525301506862477,44451.64134374765,San Salvador,El Salvador,SLV,Americas
321.0,"[0.42, 0.44)",0.02210598508285227,37045.660732601275,San Salvador,El Salvador,SLV,Americas
321.0,"[0.44, 0.46)",0.022120889395631792,37070.63768398405,San Salvador,El Salvador,SLV,Americas
321.0,"[0.46, 0.48)",0.018141465638371032,30401.838176963196,San Salvador,El Salvador,SLV,Americas
321.0,"[0.48, 0.5)",0.03259336193992077,54620.62079729726,San Salvador,El Salvador,SLV,Americas
321.0,"[0.5, 0.52)",0.012424449124185194,20821.145283458332,San Salvador,El Salvador,SLV,Americas
321.0,"[0.52, 0.54)",0.011860416400153598,19875.927739058206,San Salvador,El Salvador,SLV,Americas
321.0,"[0.54, 0.56)",0.014346769318048371,24042.608676941047,San Salvador,El Salvador,SLV,Americas
321.0,"[0.56, 0.58)",0.0049633846821675294,8317.741296387589,San Salvador,El Salvador,SLV,Americas
321.0,"[0.58, 0.6)",0.00862381399222416,14451.963401749257,San Salvador,El Salvador,SLV,Americas
321.0,"[0.6, 0.62)",0.003925331569790917,6578.15071585495,San Salvador,El Salvador,SLV,Americas
321.0,"[0.62, 0.64)",0.00951079737887168,15938.388254296839,San Salvador,El Salvador,SLV,Americas
321.0,"[0.64, 0.66)",0.006426958432613017,10770.428042213829,San Salvador,El Salvador,SLV,Americas
321.0,"[0.66, 0.68)",0.0028904616254800384,4843.894553298985,San Salvador,El Salvador,SLV,Americas
321.0,"[0.68, 0.7)",0.004032079811869587,6757.0415974431935,San Salvador,El Salvador,SLV,Americas
321.0,"[0.7, 0.72)",0.0002508940323347383,420.45333726913753,San Salvador,El Salvador,SLV,Americas
321.0,"[0.72, 0.74)",0.007514494994071584,12592.943996110218,San Salvador,El Salvador,SLV,Americas
321.0,"[0.74, 0.76)",0.0022937582483060397,3843.926861927812,San Salvador,El Salvador,SLV,Americas
321.0,"[0.76, 0.78)",0.0018895904142449114,3166.614161157321,San Salvador,El Salvador,SLV,Americas
321.0,"[0.78, 0.8)",0.0012331757649985497,2066.5811020219808,San Salvador,El Salvador,SLV,Americas
321.0,"[0.8, 0.82)",0.0038773905720929196,6497.810213984256,San Salvador,El Salvador,SLV,Americas
321.0,"[0.82, 0.84)",0.002118287103055849,3549.8687373549337,San Salvador,El Salvador,SLV,Americas
321.0,"[0.84, 0.86)",0.0006640821779318452,1112.8824601131892,San Salvador,El Salvador,SLV,Americas
321.0,"[0.86, 0.88)",0.0002454032687734995,411.25180368942085,San Salvador,El Salvador,SLV,Americas
321.0,"[0.88, 0.9)",0.0005658189046007342,948.2108622334388,San Salvador,El Salvador,SLV,Americas
321.0,"[0.9, 0.92)",0.00013394201753394325,224.46276521065874,San Salvador,El Salvador,SLV,Americas
321.0,"[0.92, 0.94)",1.3493702243043742e-05,22.6130214712893,San Salvador,El Salvador,SLV,Americas
321.0,"[0.94, 0.96)",3.3044329758038506e-05,55.37636186600316,San Salvador,El Salvador,SLV,Americas
321.0,"[0.96, 0.98)",2.60442866005183e-05,43.6455467516739,San Salvador,El Salvador,SLV,Americas
321.0,"[0.98, 1.0)",1.307195226409747e-05,21.906244253469453,San Salvador,El Salvador,SLV,Americas
323.0,"[0.0, 0.02)",0.0053246349726572585,30526.38258908691,Dallas,United States,USA,Americas
323.0,"[0.02, 0.04)",0.028744158838708567,164791.613775922,Dallas,United States,USA,Americas
323.0,"[0.04, 0.06)",0.03733878057115254,214064.98416850937,Dallas,United States,USA,Americas
323.0,"[0.06, 0.08)",0.04274770203317168,245074.58516309533,Dallas,United States,USA,Americas
323.0,"[0.08, 0.1)",0.05486704951950559,314555.3739866885,Dallas,United States,USA,Americas
323.0,"[0.1, 0.12)",0.053749200004599436,308146.6901718765,Dallas,United States,USA,Americas
323.0,"[0.12, 0.14)",0.059650579063533084,341979.57371813233,Dallas,United States,USA,Americas
323.0,"[0.14, 0.16)",0.0638355918406077,365972.44869063806,Dallas,United States,USA,Americas
323.0,"[0.16, 0.18)",0.06266254782150182,359247.3321887653,Dallas,United States,USA,Americas
323.0,"[0.18, 0.2)",0.06251280150830262,358388.82953618944,Dallas,United States,USA,Americas
323.0,"[0.2, 0.22)",0.06445112160623706,369501.3097707049,Dallas,United States,USA,Americas
323.0,"[0.22, 0.24)",0.058729030616575126,336696.2931532341,Dallas,United States,USA,Americas
323.0,"[0.24, 0.26)",0.04745331452395636,272052.08276571374,Dallas,United States,USA,Americas
323.0,"[0.26, 0.28)",0.04588104596465464,263038.19320887065,Dallas,United States,USA,Americas
323.0,"[0.28, 0.3)",0.03840588201465306,220182.726904479,Dallas,United States,USA,Americas
323.0,"[0.3, 0.32)",0.03698000642027603,212008.1150969258,Dallas,United States,USA,Americas
323.0,"[0.32, 0.34)",0.041361716487730654,237128.66488117172,Dallas,United States,USA,Americas
323.0,"[0.34, 0.36)",0.03580223313461533,205255.88548758937,Dallas,United States,USA,Americas
323.0,"[0.36, 0.38)",0.03471700764255692,199034.23672929476,Dallas,United States,USA,Americas
323.0,"[0.38, 0.4)",0.02726188981366913,156293.69577954043,Dallas,United States,USA,Americas
323.0,"[0.4, 0.42)",0.024143762965632247,138417.3279884587,Dallas,United States,USA,Americas
323.0,"[0.42, 0.44)",0.014295159983362267,81954.82414572856,Dallas,United States,USA,Americas
323.0,"[0.44, 0.46)",0.01645001131550042,94308.6881242438,Dallas,United States,USA,Americas
323.0,"[0.46, 0.48)",0.012052971403311687,69100.25161953949,Dallas,United States,USA,Americas
323.0,"[0.48, 0.5)",0.008839292667664974,50676.08036525971,Dallas,United States,USA,Americas
323.0,"[0.5, 0.52)",0.00631403639552107,36198.66745436378,Dallas,United States,USA,Americas
323.0,"[0.52, 0.54)",0.00575563717768749,32997.338490299975,Dallas,United States,USA,Americas
323.0,"[0.54, 0.56)",0.0025196471029158393,14445.25528004572,Dallas,United States,USA,Americas
323.0,"[0.56, 0.58)",0.0016620285037061572,9528.487537387404,Dallas,United States,USA,Americas
