city_id,tr_pct_bin,pop_ft,pop_ft_pct,UC_NM_MN,CTR_MN_NM,CTR_MN_ISO,continent,INCM_CMI
288.0,"[0.64, 0.66)",8373.6906332561,0.0032381670093655714,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.66, 0.68)",2556.642000806584,0.0009886720377381619,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.68, 0.7)",3490.5176255115,0.0013498085271565947,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.7, 0.72)",1188.776390430536,0.00045970846758020136,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.72, 0.74)",1930.7534651946219,0.0007466363934417721,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.74, 0.76)",1066.0334975451815,0.0004122428990772372,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.76, 0.78)",986.453009942163,0.0003814685463059651,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.78, 0.8)",1556.254601356599,0.0006018149617651612,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.8, 0.82)",1000.8537533079802,0.0003870374183983171,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.82, 0.84)",724.2234615595097,0.0002800624746413193,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.84, 0.86)",92.6475109012834,3.5827465622970506e-05,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.86, 0.88)",41.12695589588554,1.5904092664801985e-05,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.88, 0.9)",247.08027080592024,9.554773595423948e-05,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.92, 0.94)",154.46846434192042,5.973407749658752e-05,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.94, 0.96)",0.0,0.0,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.96, 0.98)",6.628519476248939,2.5632966429021417e-06,Guatemala City,Guatemala,GTM,Americas,LMIC
321.0,"[0.0, 0.02)",8564.372139882107,0.005110554894263738,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.02, 0.04)",3831.4361011579927,0.0022863047283582065,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.04, 0.06)",21049.37531823738,0.012560639156823606,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.06, 0.08)",31753.574216145455,0.0189480771585111,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.08, 0.1)",74447.69299572898,0.0444246251320887,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.1, 0.12)",141879.16343654328,0.08466251130286033,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.12, 0.14)",65443.6435332331,0.039051704817887535,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.14, 0.16)",118976.19963703632,0.07099579390350096,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.16, 0.18)",50351.198857123425,0.03004570113821105,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.18, 0.2)",114400.26496125465,0.06826523000795903,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.2, 0.22)",86385.8265602262,0.0515483799059273,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.22, 0.24)",81828.09877717156,0.04882868047577943,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.24, 0.26)",114424.51758598966,0.06827970209861715,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.26, 0.28)",76148.28653036337,0.045439407823642634,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.28, 0.3)",43341.49294824767,0.025862850807229575,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.3, 0.32)",38389.79570358827,0.02290806087338689,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.32, 0.34)",69524.97204836195,0.04148712601134083,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.34, 0.36)",63344.97886860781,0.03779938406418348,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.36, 0.38)",40732.719079634,0.02430613633423442,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.38, 0.4)",60036.55351312004,0.03582517169734126,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.4, 0.42)",44451.64134374765,0.026525301506862477,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.42, 0.44)",37045.660732601275,0.02210598508285227,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.44, 0.46)",37070.63768398405,0.022120889395631792,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.46, 0.48)",30401.838176963196,0.018141465638371032,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.48, 0.5)",54620.62079729726,0.03259336193992077,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.5, 0.52)",20821.145283458332,0.012424449124185194,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.52, 0.54)",19875.927739058206,0.011860416400153598,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.54, 0.56)",24042.608676941047,0.014346769318048371,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.56, 0.58)",8317.741296387589,0.0049633846821675294,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.58, 0.6)",14451.963401749257,0.00862381399222416,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.6, 0.62)",6578.15071585495,0.003925331569790917,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.62, 0.64)",15938.388254296839,0.00951079737887168,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.64, 0.66)",10770.428042213829,0.006426958432613017,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.66, 0.68)",4843.894553298985,0.0028904616254800384,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.68, 0.7)",6757.0415974431935,0.004032079811869587,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.7, 0.72)",420.45333726913753,0.0002508940323347383,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.72, 0.74)",12592.943996110218,0.007514494994071584,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.74, 0.76)",3843.926861927812,0.0022937582483060397,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.76, 0.78)",3166.614161157321,0.0018895904142449114,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.78, 0.8)",2066.5811020219808,0.0012331757649985497,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.8, 0.82)",6497.810213984256,0.0038773905720929196,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.82, 0.84)",3549.8687373549337,0.002118287103055849,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.84, 0.86)",1112.8824601131892,0.0006640821779318452,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.86, 0.88)",411.25180368942085,0.0002454032687734995,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.88, 0.9)",948.2108622334388,0.0005658189046007342,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.9, 0.92)",224.46276521065874,0.00013394201753394325,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.92, 0.94)",22.6130214712893,1.3493702243043742e-05,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.94, 0.96)",55.37636186600316,3.3044329758038506e-05,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.96, 0.98)",43.6455467516739,2.60442866005183e-05,San Salvador,El Salvador,SLV,Americas,LMIC
321.0,"[0.98, 1.0)",21.906244253469453,1.307195226409747e-05,San Salvador,El Salvador,SLV,Americas,LMIC
323.0,"[0.0, 0.02)",30526.38258908691,0.0053246349726572585,Dallas,United States,USA,Americas,HIC
323.0,"[0.02, 0.04)",164791.613775922,0.028744158838708567,Dallas,United States,USA,Americas,HIC
323.0,"[0.04, 0.06)",214064.98416850937,0.03733878057115254,Dallas,United States,USA,Americas,HIC
323.0,"[0.06, 0.08)",245074.58516309533,0.04274770203317168,Dallas,United States,USA,Americas,HIC
323.0,"[0.08, 0.1)",314555.3739866885,0.05486704951950559,Dallas,United States,USA,Americas,HIC
323.0,"[0.1, 0.12)",308146.6901718765,0.053749200004599436,Dallas,United States,USA,Americas,HIC
323.0,"[0.12, 0.14)",341979.57371813233,0.059650579063533084,Dallas,United States,USA,Americas,HIC
323.0,"[0.14, 0.16)",365972.44869063806,0.0638355918406077,Dallas,United States,USA,Americas,HIC
323.0,"[0.16, 0.18)",359247.3321887653,0.06266254782150182,Dallas,United States,USA,Americas,HIC
323.0,"[0.18, 0.2)",358388.82953618944,0.06251280150830262,Dallas,United States,USA,Americas,HIC
323.0,"[0.2, 0.22)",369501.3097707049,0.06445112160623706,Dallas,United States,USA,Americas,HIC
323.0,"[0.22, 0.24)",336696.2931532341,0.058729030616575126,Dallas,United States,USA,Americas,HIC
323.0,"[0.24, 0.26)",272052.08276571374,0.04745331452395636,Dallas,United States,USA,Americas,HIC
323.0,"[0.26, 0.28)",263038.19320887065,0.04588104596465464,Dallas,United States,USA,Americas,HIC
323.0,"[0.28, 0.3)",220182.726904479,0.03840588201465306,Dallas,United States,USA,Americas,HIC
323.0,"[0.3, 0.32)",212008.1150969258,0.03698000642027603,Dallas,United States,USA,Americas,HIC
323.0,"[0.32, 0.34)",237128.66488117172,0.041361716487730654,Dallas,United States,USA,Americas,HIC
323.0,"[0.34, 0.36)",205255.88548758937,0.03580223313461533,Dallas,United States,USA,Americas,HIC
323.0,"[0.36, 0.38)",199034.23672929476,0.03471700764255692,Dallas,United States,USA,Americas,HIC
323.0,"[0.38, 0.4)",156293.69577954043,0.02726188981366913,Dallas,United States,USA,Americas,HIC
323.0,"[0.4, 0.42)",138417.3279884587,0.024143762965632247,Dallas,United States,USA,Americas,HIC
323.0,"[0.42, 0.44)",81954.82414572856,0.014295159983362267,Dallas,United States,USA,Americas,HIC
323.0,"[0.44, 0.46)",94308.6881242438,0.01645001131550042,Dallas,United States,USA,Americas,HIC
323.0,"[0.46, 0.48)",69100.25161953949,0.012052971403311687,Dallas,United States,USA,Americas,HIC
323.0,"[0.48, 0.5)",50676.08036525971,0.008839292667664974,Dallas,United States,USA,Americas,HIC
323.0,"[0.5, 0.52)",36198.66745436378,0.00631403639552107,Dallas,United States,USA,Americas,HIC
323.0,"[0.52, 0.54)",32997.338490299975,0.00575563717768749,Dallas,United States,USA,Americas,HIC
323.0,"[0.54, 0.56)",14445.25528004572,0.0025196471029158393,Dallas,United States,USA,Americas,HIC
323.0,"[0.56, 0.58)",9528.487537387404,0.0016620285037061572,Dallas,United States,USA,Americas,HIC
323.0,"[0.58, 0.6)",10891.338008188495,0.0018997468530111332,Dallas,United States,USA,Americas,HIC
323.0,"[0.6, 0.62)",10498.80435846263,0.0018312782621725209,Dallas,United States,USA,Americas,HIC
323.0,"[0.62, 0.64)",2194.385097019976,0.0003827607020573593,Dallas,United States,USA,Americas,HIC
323.0,"[0.64, 0.66)",2533.5715829511446,0.00044192409031573336,Dallas,United States,USA,Americas,HIC
323.0,"[0.66, 0.68)",2208.5745762766805,0.00038523573483510655,Dallas,United States,USA,Americas,HIC
323.0,"[0.68, 0.7)",2097.9900774483635,0.00036594677754786043,Dallas,United States,USA,Americas,HIC
323.0,"[0.7, 0.72)",0.0220554823421087,3.8470785811221576e-09,Dallas,United States,USA,Americas,HIC
323.0,"[0.72, 0.74)",8.768404165202496,1.52944920139741e-06,Dallas,United States,USA,Americas,HIC
323.0,"[0.74, 0.76)",0.0,0.0,Dallas,United States,USA,Americas,HIC
323.0,"[0.76, 0.78)",411.59678905191385,7.179372305982773e-05,Dallas,United States,USA,Americas,HIC
323.0,"[0.78, 0.8)",0.8552374047975915,1.49176764794197e-07,Dallas,United States,USA,Americas,HIC
323.0,"[0.8, 0.82)",628.8767967036981,0.00010969329154703946,Dallas,United States,USA,Americas,HIC
323.0,"[0.82, 0.84)",6.284442534698309,1.096178441918373e-06,Dallas,United States,USA,Americas,HIC
323.0,"[0.88, 0.9)",0.0,0.0,Dallas,United States,USA,Americas,HIC
323.0,"[0.9, 0.92)",0.0,0.0,Dallas,United States,USA,Americas,HIC
359.0,"[0.0, 0.02)",35967.05275241572,0.02426154671564351,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.02, 0.04)",128985.78566174081,0.08700725872725616,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.04, 0.06)",81318.69112946774,0.054853458171105124,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.06, 0.08)",269113.8394336079,0.18153052551146653,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.08, 0.1)",207540.11707741936,0.13999602026067431,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.1, 0.12)",144061.74751711593,0.09717673675914401,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.12, 0.14)",154573.73628046268,0.10426759038598524,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.14, 0.16)",102133.45639696102,0.06889404146239313,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.16, 0.18)",73137.68687257441,0.04933496828187825,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.18, 0.2)",52837.17954743056,0.035641277274984146,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.2, 0.22)",32538.55991640245,0.021948859610648557,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.22, 0.24)",49201.8154414769,0.03318904532003075,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.24, 0.26)",49066.882286437474,0.03309802626803855,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.26, 0.28)",28150.566799056654,0.018988942357009896,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.28, 0.3)",10233.362958143887,0.006902906812415101,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.3, 0.32)",26163.103854531262,0.017648300814703526,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.32, 0.34)",5406.800507261793,0.003647152965022594,Tegucigalpa,Honduras,HND,Americas,LMIC
359.0,"[0.34, 0.36)",811.063640523753,0.0005471023311078854,Tegucigalpa,Honduras,HND,Americas,LMIC
