city_id,hexagon_n,UC_NM_MN,CTR_MN_NM,CTR_MN_ISO,tree_pct,pop_ft_pct,tr_pct_bin,geometry
458.0,45,Panama City,Panama,PAN,0.029602270940246,0.1516571343900236,"[0.02, 0.04)","POLYGON ((-79.52359479058798 8.971286358364209, -79.52359479058798 8.980283495240474, -79.5145441770124 8.980283495240474, -79.5145441770124 8.971286358364209, -79.52359479058798 8.971286358364209))"
467.0,353,Quito,Ecuador,ECU,0.00425683911965,0.3279313958139253,"[0.0, 0.02)","POLYGON ((-78.51061304131014 -0.21416727822936, -78.51061304131014 -0.2051701413750342, -78.50167319680719 -0.2051701413750342, -78.50167319680719 -0.21416727822936, -78.51061304131014 -0.21416727822936))"
473.0,361,Havana,Cuba,CUB,0.106584478656501,0.1156220392366907,"[0.1, 0.12)","POLYGON ((-82.29876506530769 23.110968936770927, -82.29876506530769 23.119966073683702, -82.2890449072802 23.119966073683702, -82.2890449072802 23.110968936770927, -82.29876506530769 23.110968936770927))"
528.0,645,Lima,Peru,PER,0.00070762772824,0.7979209525651735,"[0.0, 0.02)","POLYGON ((-77.11581162627024 -12.077330974676428, -77.11581162627024 -12.068333837850645, -77.10666964193973 -12.068333837850645, -77.10666964193973 -12.077330974676428, -77.11581162627024 -12.077330974676428))"
530.0,88,Nashville,United States,USA,0.36326206089889,0.0821627916777504,"[0.36, 0.38)","POLYGON ((-86.67432631743812 36.03794564877721, -86.67432631743812 36.04694278573081, -86.6632701910501 36.04694278573081, -86.6632701910501 36.03794564877721, -86.67432631743812 36.03794564877721))"
621.0,248,Bogota,Colombia,COL,0.001096795053869,0.5819189733120214,"[0.0, 0.02)","POLYGON ((-74.14950605285637 4.552404747880466, -74.14950605285637 4.561401884746108, -74.14053792003662 4.561401884746108, -74.14053792003662 4.552404747880466, -74.14950605285637 4.552404747880466))"
634.0,4352,Chicago,United States,USA,0.091208980469929,0.078377197401127,"[0.08, 0.1)","POLYGON ((-87.65894151632473 41.949876845964404, -87.65894151632473 41.958873982941256, -87.64692047644931 41.958873982941256, -87.64692047644931 41.949876845964404, -87.65894151632473 41.949876845964404))"
651.0,1381,Indianapolis,United States,USA,0.236694539962703,0.0656618888367586,"[0.22, 0.24)","POLYGON ((-86.25929023811742 39.810665829876996, -86.25929023811742 39.81966296684499, -86.24765163290644 39.81966296684499, -86.24765163290644 39.810665829876996, -86.25929023811742 39.810665829876996))"
741.0,352,Port-au-Prince,Haiti,HTI,0.001262696536022,0.1866602402414542,"[0.0, 0.02)","POLYGON ((-72.34069806719037 18.57559984074463, -72.34069806719037 18.58459697764509, -72.33126671571208 18.58459697764509, -72.33126671571208 18.57559984074463, -72.34069806719037 18.57559984074463))"
770.0,2306,Detroit,United States,USA,0.19836862606902,0.0695950528750833,"[0.18, 0.2)","POLYGON ((-83.00408047543023 42.34829159608024, -83.00408047543023 42.357288733058816, -82.99198352492608 42.357288733058816, -82.99198352492608 42.34829159608024, -83.00408047543023 42.34829159608024))"
816.0,635,Santo Domingo,Dominican Republic,DOM,0.024382290646955,0.1514915491650886,"[0.02, 0.04)","POLYGON ((-69.98639207167966 18.459594092899138, -69.98639207167966 18.468591229799287, -69.97696711546253 18.468591229799287, -69.97696711546253 18.459594092899138, -69.98639207167966 18.459594092899138))"
849.0,75,El Alto [La Paz],Bolivia,BOL,0.018773354569104,0.5124369361244356,"[0.0, 0.02)","POLYGON ((-68.16059905727823 -16.52001547694769, -68.16059905727823 -16.511018340133123, -68.15127456728776 -16.511018340133123, -68.15127456728776 -16.52001547694769, -68.16059905727823 -16.52001547694769))"
855.0,1257,Washington D.C.,United States,USA,0.318076545452133,0.0502198165492783,"[0.3, 0.32)","POLYGON ((-76.98253006594909 39.0010805712983, -76.98253006594909 39.01007770826308, -76.97102581549578 39.01007770826308, -76.97102581549578 39.0010805712983, -76.98253006594909 39.0010805712983))"
857.0,517,Caracas,Venezuela,VEN,0.056832458253883,0.1320163652845875,"[0.04, 0.06)","POLYGON ((-66.80679473695103 10.485904434833076, -66.80679473695103 10.494901571713037, -66.79770298937413 10.494901571713037, -66.79770298937413 10.485904434833076, -66.80679473695103 10.485904434833076))"
931.0,491,Santiago,Chile,CHL,0.018717764578865,0.5333525786857777,"[0.0, 0.02)","POLYGON ((-70.76311101863186 -33.50621640696002, -70.76311101863186 -33.49721927019507, -70.75239016430724 -33.49721927019507, -70.75239016430724 -33.50621640696002, -70.76311101863186 -33.50621640696002))"
945.0,1327,New York,United States,USA,0.028441331847186,0.0931348720695047,"[0.02, 0.04)","POLYGON ((-73.92212224236712 40.831927656895076, -73.92212224236712 40.84092479386722, -73.91030619870878 40.84092479386722, -73.91030619870878 40.831927656895076, -73.92212224236712 40.831927656895076))"
1022.0,202,Boston,United States,USA,0.127866635469183,0.0706269068173821,"[0.12, 0.14)","POLYGON ((-71.03650093495054 42.39417066021043, -71.03650093495054 42.403167797189205, -71.0243951437483 42.403167797189205, -71.0243951437483 42.39417066021043, -71.03650093495054 42.39417066021043))"
1045.0,8,Portland,United States,USA,0.243641024116555,0.0951343621725734,"[0.24, 0.26)","POLYGON ((-70.29398064025342 43.678185849145905, -70.29398064025342 43.68718298613037, -70.28161881339629 43.68718298613037, -70.28161881339629 43.678185849145905, -70.29398064025342 43.678185849145905))"
